"inscriptionId","address","filename"
"0a8f4edbb981c61e734d24d6eee5fe5327e4583b32a2880573b00d2d201daecei0","bc1pnalg7hmj7rvnulgxl8neqrfaz7cmst7z3wpuyu6hahh2tqnv95cqw2q2sn","ch01.htm"
"e057cd02ba9952bd15322fc86084623fb969d6fa568b590912283667cb64e54ci0","bc1pnalg7hmj7rvnulgxl8neqrfaz7cmst7z3wpuyu6hahh2tqnv95cqw2q2sn","ch02.htm"
"515ef540cbfab1123a5e640969aefcdaa21e9113da633a655ec978cd570cb5efi0","bc1pnalg7hmj7rvnulgxl8neqrfaz7cmst7z3wpuyu6hahh2tqnv95cqw2q2sn","ch03.htm"
"23bf866ee155760298d5c652f6f115f58760365624027a8e48cad62236a80ff0i0","bc1pnalg7hmj7rvnulgxl8neqrfaz7cmst7z3wpuyu6hahh2tqnv95cqw2q2sn","ch04.htm"
"b6f80ee4c032bb323590526ade70c6a31e1b0be116c41b1e5e7b06f4ad213193i0","bc1pnalg7hmj7rvnulgxl8neqrfaz7cmst7z3wpuyu6hahh2tqnv95cqw2q2sn","ch05.htm"
"f44fb9e48349d8ab7681a071500d70ffce03938fabeaeb19a21974722b338eeei0","bc1pnalg7hmj7rvnulgxl8neqrfaz7cmst7z3wpuyu6hahh2tqnv95cqw2q2sn","ch06.htm"
"579672d6eae8e88c6af4c0f1a30dfa9823e42faed9c824f875ff59deefbe4f29i0","bc1pnalg7hmj7rvnulgxl8neqrfaz7cmst7z3wpuyu6hahh2tqnv95cqw2q2sn","ch07.htm"
"2254ff00230aa9ed9fac3ce26d37548b8121c933ca1f5a900d09bde1d3968827i0","bc1pnalg7hmj7rvnulgxl8neqrfaz7cmst7z3wpuyu6hahh2tqnv95cqw2q2sn","ch08.htm"
"559008629dd52cdea1a54e7df2fb4de76fcb9e955175942989bf3d30e6283ccbi0","bc1pnalg7hmj7rvnulgxl8neqrfaz7cmst7z3wpuyu6hahh2tqnv95cqw2q2sn","ch09.htm"
"6f7d868b64d9b7830e5cee8f60c2d75a01748e5259c5a51ba2cc5666ebc79911i0","bc1pnalg7hmj7rvnulgxl8neqrfaz7cmst7z3wpuyu6hahh2tqnv95cqw2q2sn","ch10.htm"
"e6a146e98aea2c17c3aa93e11b51dd8ff17c5150a0361ee8beca557b6d2d21b4i0","bc1pnalg7hmj7rvnulgxl8neqrfaz7cmst7z3wpuyu6hahh2tqnv95cqw2q2sn","ch11.htm"
"7078939bf937ae3bca5c93fa2b49b95ed2200b93bfaed433ec1deb9bf5184a7ei0","bc1pnalg7hmj7rvnulgxl8neqrfaz7cmst7z3wpuyu6hahh2tqnv95cqw2q2sn","ch12.htm"
"e633c4654ffe38cde0147e6c16eb161a13e4871147f948b1688e9c3aa68e7ad8i0","bc1pnalg7hmj7rvnulgxl8neqrfaz7cmst7z3wpuyu6hahh2tqnv95cqw2q2sn","ch13.htm"
"dbe6a330610e01a93ee2496563e4164499a7be7230a1ca4d5ccc1d4f2fdcb6c8i0","bc1pnalg7hmj7rvnulgxl8neqrfaz7cmst7z3wpuyu6hahh2tqnv95cqw2q2sn","ch14.htm"
"96a0a5e4789fe8b854401fbe6ab847ff00302075c09d72bb52c5a4bc462b0881i0","bc1pnalg7hmj7rvnulgxl8neqrfaz7cmst7z3wpuyu6hahh2tqnv95cqw2q2sn","ch15.htm"
"1c27417cf5d7cbb9c37706bfbc685e0c533620f047539380afb72697f0365dbdi0","bc1pnalg7hmj7rvnulgxl8neqrfaz7cmst7z3wpuyu6hahh2tqnv95cqw2q2sn","ch16.htm"
"16c73c7a0f396cfe8c0c34b57f05bbca6f93fa89a0b65e3fc8806a6e0cc1257ei0","bc1pnalg7hmj7rvnulgxl8neqrfaz7cmst7z3wpuyu6hahh2tqnv95cqw2q2sn","dedication.htm"
"e4c0afdddc79609c5f6be902e0a380571a687985a5d08e458a5a63ad28e0b876i0","bc1pnalg7hmj7rvnulgxl8neqrfaz7cmst7z3wpuyu6hahh2tqnv95cqw2q2sn","epilogue.htm"
"9a1681455164c7c8f1fc6831080cca1e6ad41f028ac60de2e3b26fa28a800d56i0","bc1pnalg7hmj7rvnulgxl8neqrfaz7cmst7z3wpuyu6hahh2tqnv95cqw2q2sn","intro.htm"
"4a280a28712284206ee904a3d978534e0786ecb191ee45db658a955ca5f45aaei0","bc1pnalg7hmj7rvnulgxl8neqrfaz7cmst7z3wpuyu6hahh2tqnv95cqw2q2sn","preface.htm"
"7eebf36d44dd749e641e6e01350c839501d8473b804090923939879f87c50b36i0","bc1pnalg7hmj7rvnulgxl8neqrfaz7cmst7z3wpuyu6hahh2tqnv95cqw2q2sn","early_reviews.htm"
